Team,Games,Wins,Home Games,Home Wins
Indianapolis Colts,16,13,8,6
New Orleans Saints,16,7,8,3
Carolina Panthers,16,7,8,2
St. Louis Rams,16,3,8,1
Minnesota Vikings,16,8,8,5
Atlanta Falcons,16,4,8,3
Washington Redskins,16,9,8,5
Miami Dolphins,16,1,8,1
Denver Broncos,16,7,8,5
Buffalo Bills,16,7,8,4
Green Bay Packers,16,13,8,7
Philadelphia Eagles,16,8,8,3
Pittsburgh Steelers,16,10,8,7
Cleveland Browns,16,10,8,7
New England Patriots,16,16,8,8
New York Jets,16,4,8,3
Tennessee Titans,16,10,8,5
Jacksonville Jaguars,16,11,8,6
Houston Texans,16,8,8,6
Kansas City Chiefs,16,4,8,2
San Diego Chargers,16,11,8,7
Chicago Bears,16,7,8,4
Seattle Seahawks,16,10,8,7
Tampa Bay Buccaneers,16,9,8,6
Detroit Lions,16,7,8,5
Oakland Raiders,16,4,8,2
Dallas Cowboys,16,13,8,6
New York Giants,16,10,8,3
Cincinnati Bengals,16,7,8,5
Baltimore Ravens,16,5,8,4
San Francisco 49ers,16,5,8,3
Arizona Cardinals,16,8,8,6
