Team,Games,Wins,Home Games,Home Wins
Green Bay Packers,16,15,8,8
New Orleans Saints,16,13,8,8
Philadelphia Eagles,16,8,8,3
St. Louis Rams,16,2,8,1
Baltimore Ravens,16,12,8,8
Pittsburgh Steelers,16,12,8,7
Houston Texans,16,10,8,5
Indianapolis Colts,16,2,8,2
Jacksonville Jaguars,16,5,8,4
Tennessee Titans,16,9,8,5
Chicago Bears,16,8,8,5
Atlanta Falcons,16,10,8,6
Cincinnati Bengals,16,9,8,4
Cleveland Browns,16,4,8,3
Buffalo Bills,16,6,8,5
Kansas City Chiefs,16,7,8,3
Detroit Lions,16,10,8,5
Tampa Bay Buccaneers,16,4,8,3
Arizona Cardinals,16,8,8,6
Carolina Panthers,16,6,8,3
San Diego Chargers,16,8,8,5
Minnesota Vikings,16,3,8,1
San Francisco 49ers,16,13,8,7
Seattle Seahawks,16,7,8,4
Washington Redskins,16,5,8,2
New York Giants,16,9,8,4
New York Jets,16,8,8,6
Dallas Cowboys,16,8,8,5
New England Patriots,16,13,8,7
Miami Dolphins,16,6,8,4
Oakland Raiders,16,8,8,3
Denver Broncos,16,8,8,3
