Team,Games,Wins,Home Games,Home Wins
Oakland Raiders,16,10,8,5
Kansas City Chiefs,16,6,8,3
Green Bay Packers,16,12,8,7
Detroit Lions,16,2,8,2
Tampa Bay Buccaneers,16,9,8,5
Dallas Cowboys,16,5,8,4
Carolina Panthers,16,1,8,0
Minnesota Vikings,16,5,8,5
Seattle Seahawks,16,9,8,6
Cleveland Browns,16,7,8,4
Baltimore Ravens,16,10,8,6
Chicago Bears,16,13,8,7
Cincinnati Bengals,16,6,8,4
New England Patriots,16,11,8,6
Indianapolis Colts,16,6,8,3
New York Jets,16,10,8,3
Jacksonville Jaguars,16,6,8,3
Pittsburgh Steelers,16,13,8,7
New Orleans Saints,16,7,8,3
Buffalo Bills,16,3,8,1
San Francisco 49ers,16,12,8,7
Atlanta Falcons,16,7,8,3
San Diego Chargers,16,5,8,4
Washington Redskins,16,8,8,4
St. Louis Rams,16,14,8,6
Philadelphia Eagles,16,11,8,4
Miami Dolphins,16,11,8,7
Tennessee Titans,16,7,8,3
Denver Broncos,16,8,8,6
New York Giants,16,7,8,5
Arizona Cardinals,16,7,8,3
