Team,Games,Wins,Home Games,Home Wins
New England Patriots,16,12,8,7
Pittsburgh Steelers,16,10,8,6
St. Louis Rams,16,7,8,5
Seattle Seahawks,16,10,8,5
Green Bay Packers,16,10,8,5
Chicago Bears,16,6,8,1
Miami Dolphins,16,6,8,3
Washington Redskins,16,9,8,6
Kansas City Chiefs,16,11,8,6
Houston Texans,16,9,8,5
Carolina Panthers,16,15,8,8
Jacksonville Jaguars,16,5,8,4
Buffalo Bills,16,8,8,5
Indianapolis Colts,16,8,8,4
New York Jets,16,10,8,6
Cleveland Browns,16,3,8,2
San Diego Chargers,16,4,8,3
Detroit Lions,16,7,8,4
Arizona Cardinals,16,13,8,6
New Orleans Saints,16,7,8,4
Denver Broncos,16,12,8,6
Baltimore Ravens,16,5,8,3
Tennessee Titans,16,3,8,1
Tampa Bay Buccaneers,16,6,8,3
Cincinnati Bengals,16,12,8,6
Oakland Raiders,16,7,8,3
Dallas Cowboys,16,4,8,1
New York Giants,16,6,8,3
Atlanta Falcons,16,8,8,4
Philadelphia Eagles,16,7,8,3
San Francisco 49ers,16,5,8,4
Minnesota Vikings,16,11,8,6
