Team,Games,Wins,Home Games,Home Wins
New England Patriots,16,14,8,8
Indianapolis Colts,16,12,8,7
Tennessee Titans,16,5,8,2
Miami Dolphins,16,4,8,3
Jacksonville Jaguars,16,9,8,4
Buffalo Bills,16,9,8,5
Pittsburgh Steelers,16,15,8,8
Oakland Raiders,16,5,8,3
St. Louis Rams,16,8,8,6
Arizona Cardinals,16,6,8,5
San Diego Chargers,16,12,8,7
Houston Texans,16,7,8,3
Detroit Lions,16,6,8,3
Chicago Bears,16,5,8,2
Seattle Seahawks,16,9,8,5
New Orleans Saints,16,8,8,3
Washington Redskins,16,6,8,3
Tampa Bay Buccaneers,16,5,8,4
New York Jets,16,10,8,6
Cincinnati Bengals,16,8,8,5
Cleveland Browns,16,4,8,3
Baltimore Ravens,16,9,8,6
Minnesota Vikings,16,8,8,5
Dallas Cowboys,16,6,8,4
Atlanta Falcons,16,11,8,7
San Francisco 49ers,16,2,8,1
Philadelphia Eagles,16,13,8,7
New York Giants,16,6,8,3
Denver Broncos,16,10,8,6
Kansas City Chiefs,16,7,8,4
Green Bay Packers,16,10,8,4
Carolina Panthers,16,7,8,3
