Team,Games,Wins,Home Games,Home Wins
New Orleans Saints,16,11,8,5
Minnesota Vikings,16,6,8,4
Pittsburgh Steelers,16,12,8,5
Atlanta Falcons,16,13,8,7
Chicago Bears,16,11,8,5
Detroit Lions,16,6,8,4
Tampa Bay Buccaneers,16,10,8,4
Cleveland Browns,16,5,8,3
Houston Texans,16,6,8,4
Indianapolis Colts,16,10,8,6
New England Patriots,16,14,8,8
Cincinnati Bengals,16,4,8,3
Miami Dolphins,16,7,8,1
Buffalo Bills,16,4,8,2
Tennessee Titans,16,6,8,3
Oakland Raiders,16,8,8,5
Jacksonville Jaguars,16,8,8,5
Denver Broncos,16,4,8,3
New York Giants,16,10,8,5
Carolina Panthers,16,2,8,2
Arizona Cardinals,16,5,8,4
St. Louis Rams,16,7,8,5
Green Bay Packers,16,10,8,7
Philadelphia Eagles,16,10,8,4
Seattle Seahawks,16,7,8,5
San Francisco 49ers,16,6,8,5
Washington Redskins,16,6,8,2
Dallas Cowboys,16,6,8,2
Baltimore Ravens,16,12,8,7
New York Jets,16,11,8,5
Kansas City Chiefs,16,10,8,7
San Diego Chargers,16,9,8,6
