Team,Games,Wins,Home Games,Home Wins
Pittsburgh Steelers,16,9,8,6
Tennessee Titans,16,8,8,5
Indianapolis Colts,16,14,8,7
Jacksonville Jaguars,16,7,8,5
Baltimore Ravens,16,9,8,6
Kansas City Chiefs,16,4,8,1
Denver Broncos,16,8,8,4
Cincinnati Bengals,16,10,8,6
New York Jets,16,9,8,4
Houston Texans,16,9,8,4
Minnesota Vikings,16,12,8,8
Cleveland Browns,16,5,8,3
New Orleans Saints,16,13,8,6
Detroit Lions,16,2,8,2
Dallas Cowboys,16,11,8,6
Tampa Bay Buccaneers,16,3,8,1
Philadelphia Eagles,16,11,8,6
Carolina Panthers,16,8,8,5
Atlanta Falcons,16,9,8,6
Miami Dolphins,16,7,8,4
San Francisco 49ers,16,8,8,6
Arizona Cardinals,16,10,8,4
New York Giants,16,8,8,4
Washington Redskins,16,4,8,3
Seattle Seahawks,16,5,8,4
St. Louis Rams,16,1,8,0
Green Bay Packers,16,11,8,6
Chicago Bears,16,7,8,5
New England Patriots,16,10,8,8
Buffalo Bills,16,6,8,3
San Diego Chargers,16,13,8,6
Oakland Raiders,16,5,8,2
