Team,Games,Wins,Home Games,Home Wins
New England Patriots,16,10,8,5
Oakland Raiders,16,4,8,2
Kansas City Chiefs,16,10,8,7
New York Jets,16,4,8,4
Buffalo Bills,16,5,8,4
Houston Texans,16,2,8,2
Pittsburgh Steelers,16,11,8,5
Tennessee Titans,16,4,8,3
Tampa Bay Buccaneers,16,11,8,6
Minnesota Vikings,16,9,8,6
Washington Redskins,16,10,8,6
Chicago Bears,16,11,8,7
New Orleans Saints,16,3,8,1
Carolina Panthers,16,11,8,5
Jacksonville Jaguars,16,12,8,6
Seattle Seahawks,16,13,8,8
Miami Dolphins,16,9,8,5
Denver Broncos,16,13,8,8
Cincinnati Bengals,16,11,8,5
Cleveland Browns,16,6,8,4
San Francisco 49ers,16,4,8,3
St. Louis Rams,16,6,8,3
Dallas Cowboys,16,9,8,5
San Diego Chargers,16,9,8,4
New York Giants,16,11,8,7
Arizona Cardinals,16,5,8,3
Detroit Lions,16,5,8,3
Green Bay Packers,16,4,8,3
Indianapolis Colts,16,14,8,7
Baltimore Ravens,16,6,8,6
Atlanta Falcons,16,8,8,4
Philadelphia Eagles,16,6,8,4
