Team,Games,Wins,Home Games,Home Wins
Kansas City Chiefs,16,10,8,6
New England Patriots,16,13,8,6
Oakland Raiders,16,6,8,4
Tennessee Titans,16,9,8,6
Atlanta Falcons,16,10,8,5
Chicago Bears,16,5,8,3
Buffalo Bills,16,9,8,6
New York Jets,16,5,8,4
Pittsburgh Steelers,16,13,8,6
Cleveland Browns,16,0,8,0
Baltimore Ravens,16,9,8,5
Cincinnati Bengals,16,7,8,4
Philadelphia Eagles,16,13,8,7
Washington Redskins,16,7,8,5
Detroit Lions,16,9,8,4
Arizona Cardinals,16,8,8,5
Jacksonville Jaguars,16,10,8,6
Houston Texans,16,4,8,3
Los Angeles Rams,16,11,8,4
Indianapolis Colts,16,4,8,3
Carolina Panthers,16,11,8,6
San Francisco 49ers,16,6,8,3
Green Bay Packers,16,7,8,4
Seattle Seahawks,16,9,8,4
Dallas Cowboys,16,9,8,3
New York Giants,16,3,8,2
Minnesota Vikings,16,13,8,7
New Orleans Saints,16,11,8,7
Denver Broncos,16,5,8,4
Los Angeles Chargers,16,9,8,5
Tampa Bay Buccaneers,16,5,8,4
Miami Dolphins,16,6,8,4
