Team,Games,Wins,Home Games,Home Wins
Anaheim Ducks,82,47,41,28
Los Angeles Kings,82,32,41,17
Montreal Canadiens,82,47,41,22
Carolina Hurricanes,82,43,41,24
Dallas Stars,82,45,41,23
Colorado Avalanche,82,44,41,27
Detroit Red Wings,82,54,41,29
Ottawa Senators,82,43,41,22
Toronto Maple Leafs,82,36,41,18
Philadelphia Flyers,82,42,41,21
Calgary Flames,82,42,41,21
San Jose Sharks,82,49,41,22
Edmonton Oilers,82,41,41,23
Chicago Blackhawks,82,40,41,23
Minnesota Wild,82,44,41,25
Nashville Predators,82,41,41,23
Florida Panthers,82,38,41,18
New York Rangers,82,42,41,25
St. Louis Blues,82,33,41,20
Phoenix Coyotes,82,38,41,17
New Jersey Devils,82,46,41,25
Tampa Bay Lightning,82,31,41,20
Washington Capitals,82,43,41,23
Atlanta Thrashers,82,34,41,19
New York Islanders,82,35,41,18
Buffalo Sabres,82,39,41,20
Pittsburgh Penguins,82,47,41,26
Columbus Blue Jackets,82,34,41,20
Boston Bruins,82,41,41,21
Vancouver Canucks,82,39,41,21
