Team,Games,Wins,Home Games,Home Wins
New York Rangers,48,26,24,16
Boston Bruins,48,28,24,16
Phoenix Coyotes,48,21,24,14
Dallas Stars,48,22,24,11
Carolina Hurricanes,48,19,24,9
Florida Panthers,48,15,24,8
Chicago Blackhawks,48,36,24,18
Los Angeles Kings,48,27,24,19
Colorado Avalanche,48,16,24,12
Minnesota Wild,48,26,24,14
Toronto Maple Leafs,48,26,24,13
Montreal Canadiens,48,29,24,14
Columbus Blue Jackets,48,24,24,14
Nashville Predators,48,16,24,11
New Jersey Devils,48,19,24,13
New York Islanders,48,24,24,10
Pittsburgh Penguins,48,36,24,18
Philadelphia Flyers,48,23,24,15
Detroit Red Wings,48,24,24,13
St. Louis Blues,48,29,24,15
Washington Capitals,48,27,24,15
Tampa Bay Lightning,48,18,24,12
Anaheim Ducks,48,30,24,16
Vancouver Canucks,48,26,24,15
Ottawa Senators,48,25,24,15
Winnipeg Jets,48,24,24,13
Buffalo Sabres,48,21,24,11
San Jose Sharks,48,25,24,17
Calgary Flames,48,19,24,13
Edmonton Oilers,48,19,24,9
