Team,Games,Wins,Home Games,Home Wins
Calgary Flames,82,37,41,17
Edmonton Oilers,82,36,41,19
St. Louis Blues,82,44,41,24
Pittsburgh Penguins,82,47,41,30
Philadelphia Flyers,82,42,41,22
San Jose Sharks,82,45,41,25
Toronto Maple Leafs,82,49,41,29
Winnipeg Jets,82,52,41,32
Arizona Coyotes,82,29,41,16
Anaheim Ducks,82,44,41,26
Nashville Predators,82,53,41,28
Boston Bruins,82,50,41,28
Montreal Canadiens,82,29,41,18
Buffalo Sabres,82,25,41,11
Chicago Blackhawks,82,33,41,18
Minnesota Wild,82,45,41,27
Detroit Red Wings,82,30,41,16
Los Angeles Kings,82,45,41,23
Colorado Avalanche,82,43,41,28
New York Rangers,82,34,41,21
Washington Capitals,82,49,41,28
Ottawa Senators,82,28,41,16
New York Islanders,82,35,41,19
Columbus Blue Jackets,82,45,41,26
Vegas Golden Knights,82,51,41,29
Dallas Stars,82,42,41,26
Florida Panthers,82,44,41,27
Tampa Bay Lightning,82,54,41,29
Carolina Hurricanes,82,36,41,19
New Jersey Devils,82,44,41,23
Vancouver Canucks,82,31,41,16
