Team,Games,Wins,Home Games,Home Wins
Buffalo Sabres,82,53,41,28
Carolina Hurricanes,82,40,41,21
Dallas Stars,82,50,41,28
Colorado Avalanche,82,44,41,22
Ottawa Senators,82,48,41,25
Toronto Maple Leafs,82,40,41,21
Tampa Bay Lightning,82,44,41,22
Atlanta Thrashers,82,43,41,23
Vancouver Canucks,82,49,41,26
Detroit Red Wings,82,50,41,29
Calgary Flames,82,43,41,30
Edmonton Oilers,82,32,41,19
Minnesota Wild,82,48,41,29
Chicago Blackhawks,82,31,41,17
Nashville Predators,82,51,41,28
Washington Capitals,82,28,41,17
New York Rangers,82,42,41,21
New York Islanders,82,40,41,22
Phoenix Coyotes,82,31,41,18
Philadelphia Flyers,82,22,41,10
Pittsburgh Penguins,82,47,41,26
St. Louis Blues,82,34,41,18
San Jose Sharks,82,51,41,25
Los Angeles Kings,82,27,41,16
Anaheim Ducks,82,48,41,26
Montreal Canadiens,82,42,41,26
New Jersey Devils,82,49,41,25
Columbus Blue Jackets,82,33,41,18
Boston Bruins,82,35,41,18
Florida Panthers,82,35,41,23
