Team,Games,Wins,Home Games,Home Wins
New York Rangers,82,38,41,17
Carolina Hurricanes,82,24,41,12
Dallas Stars,82,55,41,28
Colorado Avalanche,82,47,41,21
Phoenix Coyotes,82,36,41,17
Los Angeles Kings,82,37,41,19
New York Islanders,82,41,41,18
Buffalo Sabres,82,32,41,18
Chicago Blackhawks,82,36,41,17
Columbus Blue Jackets,82,32,41,20
Vancouver Canucks,82,52,41,22
Calgary Flames,82,32,41,14
Philadelphia Flyers,82,50,41,21
Edmonton Oilers,82,42,41,20
Tampa Bay Lightning,82,45,41,22
Florida Panthers,82,30,41,8
New Jersey Devils,82,53,41,25
Ottawa Senators,82,57,41,28
Toronto Maple Leafs,82,47,41,24
Pittsburgh Penguins,82,31,41,15
Detroit Red Wings,82,53,41,28
San Jose Sharks,82,32,41,17
Mighty Ducks of Anaheim,82,42,41,22
St. Louis Blues,82,48,41,23
Atlanta Thrashers,82,34,41,15
Boston Bruins,82,42,41,23
Minnesota Wild,82,49,41,25
Montreal Canadiens,82,33,41,16
Nashville Predators,82,35,41,18
Washington Capitals,82,45,41,24
