Team,Games,Wins,Home Games,Home Wins
Montreal Canadiens,82,42,41,24
Boston Bruins,82,29,41,16
New York Islanders,82,36,41,20
Buffalo Sabres,82,52,41,27
Mighty Ducks of Anaheim,82,43,41,26
Chicago Blackhawks,82,26,41,16
Los Angeles Kings,82,42,41,26
Dallas Stars,82,53,41,28
St. Louis Blues,82,21,41,12
Detroit Red Wings,82,58,41,27
Colorado Avalanche,82,43,41,25
Edmonton Oilers,82,41,41,20
Atlanta Thrashers,82,41,41,24
Florida Panthers,82,37,41,25
Calgary Flames,82,46,41,30
Minnesota Wild,82,38,41,23
Pittsburgh Penguins,82,22,41,12
New Jersey Devils,82,46,41,27
San Jose Sharks,82,44,41,25
Nashville Predators,82,49,41,32
New York Rangers,82,44,41,25
Philadelphia Flyers,82,45,41,22
Carolina Hurricanes,82,52,41,31
Tampa Bay Lightning,82,43,41,25
Ottawa Senators,82,52,41,29
Toronto Maple Leafs,82,41,41,26
Phoenix Coyotes,82,38,41,19
Vancouver Canucks,82,42,41,25
Columbus Blue Jackets,82,35,41,23
Washington Capitals,82,29,41,16
