Team,Games,Wins,Home Games,Home Wins
Anaheim Ducks,82,35,41,19
San Jose Sharks,82,46,41,25
Montreal Canadiens,82,44,41,25
Toronto Maple Leafs,82,46,41,23
Calgary Flames,82,50,41,26
Vancouver Canucks,82,35,41,20
Boston Bruins,82,49,41,29
Washington Capitals,82,48,41,24
Buffalo Sabres,82,33,41,21
New York Islanders,82,48,41,24
Carolina Hurricanes,82,46,41,24
Minnesota Wild,82,37,41,16
Colorado Avalanche,82,38,41,21
Arizona Coyotes,82,39,41,20
Dallas Stars,82,43,41,24
Columbus Blue Jackets,82,47,41,22
Detroit Red Wings,82,32,41,17
Nashville Predators,82,47,41,25
New York Rangers,82,32,41,18
Chicago Blackhawks,82,36,41,19
Ottawa Senators,82,29,41,18
Pittsburgh Penguins,82,44,41,23
Winnipeg Jets,82,47,41,25
St. Louis Blues,82,45,41,24
Philadelphia Flyers,82,37,41,19
Vegas Golden Knights,82,43,41,24
Los Angeles Kings,82,31,41,17
Edmonton Oilers,82,35,41,18
New Jersey Devils,82,31,41,20
Florida Panthers,82,36,41,20
Tampa Bay Lightning,82,62,41,32
