Team,Games,Wins,Home Games,Home Wins
Washington Capitals,82,38,41,21
Chicago Blackhawks,82,46,41,27
Winnipeg Jets,82,37,41,18
Edmonton Oilers,82,29,41,16
Toronto Maple Leafs,82,38,41,24
Montreal Canadiens,82,46,41,23
Anaheim Ducks,82,54,41,29
Colorado Avalanche,82,52,41,26
Buffalo Sabres,82,21,41,13
Detroit Red Wings,82,39,41,18
Philadelphia Flyers,82,42,41,24
Tampa Bay Lightning,82,46,41,25
Boston Bruins,82,54,41,31
Florida Panthers,82,29,41,16
Dallas Stars,82,40,41,23
Los Angeles Kings,82,46,41,23
Minnesota Wild,82,43,41,26
New York Rangers,82,45,41,20
Phoenix Coyotes,82,37,41,22
New Jersey Devils,82,35,41,21
Pittsburgh Penguins,82,51,41,28
Vancouver Canucks,82,36,41,20
San Jose Sharks,82,51,41,29
Nashville Predators,82,38,41,19
St. Louis Blues,82,52,41,28
Calgary Flames,82,35,41,19
Ottawa Senators,83,38,41,18
Carolina Hurricanes,83,36,42,18
Columbus Blue Jackets,82,43,41,22
New York Islanders,82,34,41,13
