Team,Games,Wins,Home Games,Home Wins
Vancouver Canucks,82,31,41,15
Calgary Flames,82,35,41,21
New York Rangers,82,46,41,27
Chicago Blackhawks,82,47,41,26
San Jose Sharks,82,46,41,18
Los Angeles Kings,82,48,41,26
Montreal Canadiens,82,38,41,22
Toronto Maple Leafs,82,29,41,14
Winnipeg Jets,82,35,41,18
Boston Bruins,82,42,41,17
Ottawa Senators,82,38,41,21
Buffalo Sabres,82,35,41,16
Minnesota Wild,82,38,41,21
Colorado Avalanche,82,39,41,17
Pittsburgh Penguins,82,48,41,26
Dallas Stars,82,50,41,28
Carolina Hurricanes,82,35,41,19
Nashville Predators,82,41,41,23
Edmonton Oilers,82,31,41,19
St. Louis Blues,82,49,41,24
Philadelphia Flyers,82,41,41,23
Tampa Bay Lightning,82,46,41,25
Columbus Blue Jackets,82,34,41,18
Detroit Red Wings,82,41,41,22
Arizona Coyotes,82,35,41,22
New Jersey Devils,82,38,41,19
New York Islanders,82,45,41,25
Florida Panthers,82,47,41,25
Anaheim Ducks,82,46,41,25
Washington Capitals,82,56,41,29
