Team,Games,Wins,Home Games,Home Wins
Colorado Avalanche,82,57,41,28
Dallas Stars,82,51,41,26
Ottawa Senators,82,52,41,26
Boston Bruins,82,39,41,21
Chicago Blackhawks,82,33,41,14
Buffalo Sabres,82,48,41,26
Detroit Red Wings,82,55,41,27
Calgary Flames,82,33,41,12
Vancouver Canucks,82,42,41,21
Philadelphia Flyers,82,50,41,26
St. Louis Blues,82,50,41,28
Phoenix Coyotes,82,45,41,21
Edmonton Oilers,82,44,41,23
Florida Panthers,82,28,41,12
Minnesota Wild,82,28,41,14
Mighty Ducks of Anaheim,82,32,41,15
Montreal Canadiens,82,32,41,15
New Jersey Devils,82,54,41,24
Nashville Predators,82,36,41,16
Pittsburgh Penguins,82,49,41,24
San Jose Sharks,82,48,41,22
New York Islanders,82,27,41,12
Tampa Bay Lightning,82,27,41,17
Los Angeles Kings,82,43,41,20
Washington Capitals,82,45,41,24
New York Rangers,82,35,41,17
Atlanta Thrashers,82,29,41,10
Carolina Hurricanes,82,44,41,23
Columbus Blue Jackets,82,33,41,19
Toronto Maple Leafs,82,41,41,19
