Team,Games,Wins,Home Games,Home Wins
Pittsburgh Penguins,82,45,41,25
Ottawa Senators,82,36,41,22
New York Rangers,82,43,41,26
Tampa Bay Lightning,82,24,41,12
Boston Bruins,82,53,41,29
Colorado Avalanche,82,32,41,18
Toronto Maple Leafs,82,34,41,16
Detroit Red Wings,82,51,41,27
Anaheim Ducks,82,42,41,20
San Jose Sharks,82,53,41,32
Calgary Flames,82,46,41,27
Vancouver Canucks,82,45,41,24
Washington Capitals,82,50,41,29
Atlanta Thrashers,82,35,41,18
Montreal Canadiens,82,41,41,24
Buffalo Sabres,82,41,41,23
Florida Panthers,82,41,41,22
Carolina Hurricanes,82,45,41,26
Columbus Blue Jackets,82,41,41,25
Dallas Stars,82,36,41,20
New York Islanders,82,26,41,17
New Jersey Devils,82,51,41,28
Chicago Blackhawks,82,46,41,24
Nashville Predators,82,40,41,24
St. Louis Blues,82,41,41,23
Minnesota Wild,82,40,41,23
Philadelphia Flyers,82,44,41,24
Phoenix Coyotes,82,36,41,23
Los Angeles Kings,82,34,41,18
Edmonton Oilers,82,38,41,18
