Team,Games,Wins,Home Games,Home Wins
Pittsburgh Penguins,82,38,41,23
Dallas Stars,82,48,41,21
New York Rangers,82,36,41,15
Edmonton Oilers,82,39,41,18
New Jersey Devils,82,50,41,28
Atlanta Thrashers,82,18,41,9
Carolina Hurricanes,82,42,41,20
Boston Bruins,82,32,41,12
Mighty Ducks of Anaheim,82,39,41,19
Buffalo Sabres,82,41,41,21
Detroit Red Wings,82,55,41,28
Washington Capitals,82,48,41,26
Florida Panthers,82,45,41,26
Toronto Maple Leafs,82,47,41,24
Montreal Canadiens,82,39,41,18
Los Angeles Kings,82,46,41,21
Nashville Predators,82,32,41,15
Ottawa Senators,82,47,41,24
Philadelphia Flyers,82,50,41,25
Calgary Flames,82,35,41,20
San Jose Sharks,82,42,41,21
Phoenix Coyotes,82,45,41,22
St. Louis Blues,82,55,41,24
New York Islanders,82,28,41,10
Tampa Bay Lightning,82,24,41,13
Vancouver Canucks,82,40,41,16
Chicago Blackhawks,82,38,41,16
Colorado Avalanche,82,49,41,25
