Team,Games,Wins,Home Games,Home Wins
St. Louis Blues,82,46,41,24
Chicago Blackhawks,82,50,41,26
Calgary Flames,82,45,41,24
Edmonton Oilers,82,47,41,25
Toronto Maple Leafs,82,40,41,21
Ottawa Senators,82,44,41,22
Los Angeles Kings,82,39,41,23
San Jose Sharks,82,46,41,26
Montreal Canadiens,82,47,41,24
Buffalo Sabres,82,33,41,20
Boston Bruins,82,44,41,23
Columbus Blue Jackets,82,50,41,28
Anaheim Ducks,82,46,41,29
Dallas Stars,82,34,41,22
New Jersey Devils,82,28,41,16
Florida Panthers,82,35,41,19
New York Islanders,82,41,41,22
New York Rangers,82,48,41,21
Washington Capitals,82,55,41,32
Pittsburgh Penguins,82,50,41,31
Minnesota Wild,82,49,41,27
Detroit Red Wings,82,33,41,17
Tampa Bay Lightning,82,42,41,23
Carolina Hurricanes,82,36,41,23
Winnipeg Jets,82,40,41,22
Philadelphia Flyers,82,39,41,25
Nashville Predators,82,41,41,24
Arizona Coyotes,82,30,41,18
Colorado Avalanche,82,22,41,13
Vancouver Canucks,82,30,41,18
