Team,Games,Wins,Home Games,Home Wins
Edmonton Oilers,82,46,41,23
Calgary Flames,82,39,41,20
Colorado Avalanche,82,49,41,24
Pittsburgh Penguins,82,32,41,16
Ottawa Senators,82,45,41,21
Toronto Maple Leafs,82,47,41,24
Mighty Ducks of Anaheim,82,32,41,15
Boston Bruins,82,47,41,23
Atlanta Thrashers,82,21,41,11
Buffalo Sabres,82,41,41,20
St. Louis Blues,82,50,41,27
Columbus Blue Jackets,82,25,41,14
Phoenix Coyotes,82,46,41,27
Los Angeles Kings,82,45,41,22
Montreal Canadiens,82,42,41,21
Florida Panthers,82,29,41,11
Philadelphia Flyers,82,47,41,20
Detroit Red Wings,82,56,41,28
San Jose Sharks,82,49,41,25
Chicago Blackhawks,82,49,41,28
Vancouver Canucks,82,44,41,23
New York Rangers,82,38,41,19
Carolina Hurricanes,82,40,41,15
Nashville Predators,82,33,41,17
Dallas Stars,82,43,41,18
New York Islanders,82,45,41,21
Tampa Bay Lightning,82,33,41,16
Minnesota Wild,82,30,41,14
New Jersey Devils,82,46,41,22
Washington Capitals,82,41,41,21
