Team,Games,Wins,Home Games,Home Wins
Philadelphia Flyers,82,33,41,23
Boston Bruins,82,41,41,24
Vancouver Canucks,82,48,41,24
Calgary Flames,82,45,41,23
San Jose Sharks,82,40,41,19
Los Angeles Kings,82,40,41,25
Montreal Canadiens,82,50,41,26
Toronto Maple Leafs,82,30,41,22
Winnipeg Jets,82,43,41,23
Arizona Coyotes,82,24,41,11
Columbus Blue Jackets,82,42,41,19
Buffalo Sabres,82,23,41,14
Chicago Blackhawks,82,48,41,24
Dallas Stars,82,41,41,17
Detroit Red Wings,82,43,41,22
Edmonton Oilers,82,24,41,15
Colorado Avalanche,82,39,41,23
Minnesota Wild,82,46,41,22
Ottawa Senators,82,43,41,23
Nashville Predators,82,47,41,28
New Jersey Devils,82,32,41,19
Anaheim Ducks,82,51,41,26
Pittsburgh Penguins,82,43,41,23
New York Rangers,82,53,41,25
St. Louis Blues,82,51,41,27
Florida Panthers,82,38,41,21
Tampa Bay Lightning,82,50,41,32
Washington Capitals,82,45,41,23
New York Islanders,82,47,41,25
Carolina Hurricanes,82,30,41,18
