Team,Games,Wins,Home Games,Home Wins
Chicago Blackhawks,82,44,41,24
Colorado Avalanche,82,30,41,16
Calgary Flames,82,41,41,23
Edmonton Oilers,82,25,41,13
Carolina Hurricanes,82,40,41,22
Minnesota Wild,82,39,41,19
Philadelphia Flyers,82,47,41,22
Pittsburgh Penguins,82,49,41,25
Montreal Canadiens,82,44,41,24
Toronto Maple Leafs,82,37,41,18
Washington Capitals,82,48,41,25
Atlanta Thrashers,82,34,41,17
San Jose Sharks,82,48,41,25
Columbus Blue Jackets,82,34,41,17
Anaheim Ducks,82,47,41,26
Detroit Red Wings,82,47,41,21
Dallas Stars,82,42,41,22
New Jersey Devils,82,38,41,22
Buffalo Sabres,82,43,41,21
Ottawa Senators,82,32,41,16
Phoenix Coyotes,82,43,41,21
Boston Bruins,82,46,41,22
New York Rangers,82,44,41,20
Nashville Predators,82,44,41,24
New York Islanders,82,30,41,17
St. Louis Blues,82,38,41,23
Tampa Bay Lightning,82,46,41,25
Los Angeles Kings,82,46,41,25
Vancouver Canucks,82,54,41,27
Florida Panthers,82,30,41,16
