Team,Games,Wins,Home Games,Home Wins
Philadelphia Flyers,82,47,41,22
Boston Bruins,82,49,41,24
Montreal Canadiens,82,31,41,16
Toronto Maple Leafs,82,35,41,18
Pittsburgh Penguins,82,51,41,29
Vancouver Canucks,82,51,41,27
Anaheim Ducks,82,34,41,21
Buffalo Sabres,82,39,41,21
Tampa Bay Lightning,82,38,41,25
Carolina Hurricanes,82,33,41,20
Nashville Predators,82,48,41,26
Columbus Blue Jackets,82,29,41,17
Chicago Blackhawks,82,45,41,27
Dallas Stars,82,42,41,22
Ottawa Senators,82,41,41,20
Detroit Red Wings,82,48,41,31
New York Rangers,82,51,41,27
Los Angeles Kings,82,40,41,22
Calgary Flames,82,37,41,23
Colorado Avalanche,82,41,41,22
Minnesota Wild,82,35,41,20
New Jersey Devils,82,48,41,24
Florida Panthers,82,38,41,21
New York Islanders,82,34,41,17
Phoenix Coyotes,82,42,41,22
San Jose Sharks,82,43,41,26
St. Louis Blues,82,49,41,30
Washington Capitals,82,42,41,26
Edmonton Oilers,82,32,41,18
Winnipeg Jets,82,37,41,23
